Employees by rezidence from Active Population 2019 (%),Living space per person 2020 (sqm),Voters present at the polls for the referendum 2018 (%),Locality with public airports (dummy),Primary education (4 grades) 2011 (%),Elderly (65+) 2020 (%),Relative poverty 2016 (%),Neoprotestants from Population 2011 (%),Migration experience,Maximum Covid 19 Incidence Rate 3rd Wave,Core city,Peri-urban City,Peri-urban Village,Size 100T+,School enrollment to young population 2019 (%),Vaccination Rate 05.10.2021,siruta,Vaccination Rate 26.05.2021
0.043907794,16.34375,0.217741935,0,0.220166848,0.2145365169999999,0.43994647,0.0003,35.10282791,0.0,0,0,0,0,0.516216216,20.55,72052.0,13.38
0.093869732,19.39393939,0.496411483,0,0.349975037,0.32183908,0.449852507,0.0316,50.96554677,3.06,0,0,0,0,0.553784861,14.61,153865.0,9.34
0.340942177,15.28195293,0.193430185,0,0.1286408869999999,0.215514673,0.100188431,0.0037,71.84484534,5.48,1,0,0,0,1.235278654,29.34,100610.0,23.9
0.091557669,14.34110169,0.197994177,0,0.2604698669999999,0.269491525,0.329981228,0.0013,37.08038148,2.15,0,0,1,0,0.6886160709999999,15.02,153507.0,10.31
0.113117871,24.27914439,0.611662531,0,0.387612388,0.289839572,0.429143716,0.0062,25.99797558,3.73,0,0,0,0,0.647940075,9.94,105348.0,5.61
0.076670318,21.7292654,0.210312076,0,0.380351262,0.316350711,0.62943072,0.0058,33.70421918,0.0,0,0,0,0,0.705128205,12.41,128864.0,8.45
0.071801567,31.35725133,0.1698352339999999,0,0.333596526,0.307896735,0.63963964,0.0054,51.60303633,1.48,0,0,0,0,0.661818182,12.0,113493.0,6.4
0.09135201,29.90208333,0.179783951,0,0.266541823,0.314583333,0.420373952,0.0034,17.57516428,1.4,0,0,0,0,0.636942675,12.48,179766.0,8.04
0.151156812,27.07026045,0.210147412,0,0.326474623,0.266807995,0.24,0.0003,30.707412800000004,1.78,0,0,0,0,1.515981735,18.2,103639.0,13.87
0.1007722009999999,18.59551531,0.143029717,0,0.329194883,0.308106943,0.37040715,0.0032,24.58714141,1.32,0,0,0,0,0.717905405,17.6,152172.0,11.37
0.054216867,27.1374829,0.54368932,0,0.258726899,0.263337893,0.559029994,0.0,37.39147351,0.66,0,0,0,0,0.703389831,11.9,72882.0,6.63
0.053321283,14.04101877,0.231,0,0.160969546,0.21152815,0.310161847,0.0064,40.440395,1.62,0,0,1,0,0.508982036,20.12,126718.0,12.86
0.3552631579999999,30.50390117,0.452363091,0,0.339516582,0.291287386,0.401183432,0.0055,24.34341546,2.63,0,0,0,0,0.729166667,12.52,104975.0,8.43
0.113684211,21.29343405,0.631793478,0,0.212052302,0.306798373,0.379578246,0.0122,37.59439801,0.0,0,0,0,0,0.68907563,12.14,154415.0,5.0
0.083131558,23.54509218,0.265830006,0,0.238453276,0.245142003,0.669437653,0.0015,55.8115498,2.38,0,0,0,0,0.643724696,14.28,72506.0,7.66
0.1003663,18.39664804,0.416532475,0,0.352137506,0.203695746,0.490909091,0.0019,26.670217,1.24,0,0,0,0,0.6985981309999999,6.83,103372.0,3.95
0.081527348,22.85916359,0.291332848,0,0.250160359,0.244772448,0.3307783019999999,0.0017,37.25545838,2.99,0,0,0,0,0.56557377,14.16,73594.0,8.83
0.03024989,16.60556422,0.334460602,0,0.309569685,0.167446698,0.609403255,0.0156,53.45570495,1.74,0,0,1,0,0.491400491,9.93,71457.0,6.01
0.080327869,26.01495163,0.155434783,0,0.489715965,0.305189094,0.580534022,0.0104,28.0993714,0.0,0,0,0,0,0.6190476189999999,7.5,154166.0,3.92
0.049415515,17.75992063,0.219253438,0,0.239959156,0.224867725,0.379915502,0.0172,32.94076363,2.31,0,0,0,0,0.542857143,15.18,74322.0,10.02
0.168094218,19.40869565,0.354080221,0,0.252215003,0.30931677,0.401880141,0.0011,27.16832299,3.69,0,0,1,0,0.74556213,22.25,126102.0,14.34
0.050429185,29.13578757,0.4553391539999999,0,0.27750309,0.318044659,0.269994328,0.0,38.25573956,1.06,0,0,0,0,0.462765957,15.92,112744.0,9.23
0.049511855,16.38272103,0.575632421,0,0.393442623,0.195801373,0.4595133629999999,0.0029,36.59489066,0.8,0,0,0,0,0.545816733,13.62,71518.0,6.59
0.166356135,17.48998366,0.207515658,0,0.2042976269999999,0.177284842,0.1900452489999999,0.0086,50.39899814,3.1,1,0,0,0,0.986387435,19.92,125622.0,15.98
0.127262113,18.06605324,0.128279883,0,0.303386809,0.21196188,0.239710964,0.0116,39.47076272,1.62,0,0,0,0,0.853225806,16.48,153473.0,11.71
0.205621754,25.24087323,0.2156905589999999,0,0.29386931,0.228031554,0.560530086,0.0031,24.03700369,1.84,0,0,0,0,0.759615385,14.47,101662.0,9.64
0.062280084,12.94560136,0.498762036,0,0.314149947,0.167233319,0.499789562,0.1103,43.12959565,0.43,0,0,1,0,0.601842375,12.46,105259.0,7.0
0.035166817,30.17434211,0.316709845,0,0.228717367,0.235745614,0.639869636,0.0434,17.57516428,2.11,0,0,0,0,0.506122449,21.61,74915.0,10.97
0.107913669,19.57075963,0.330755503,0,0.296936759,0.289802289,0.580234834,0.0071,17.57516428,0.52,0,0,1,0,0.7875,13.57,180055.0,9.46
0.083883752,18.4865287,0.147086915,0,0.31529517,0.225302616,0.469793621,0.0,37.49165229,1.61,0,0,0,0,0.584615385,10.04,62486.0,5.43
0.068160598,18.46675462,0.260459635,0,0.3083416089999999,0.308707124,0.190359075,0.0446,37.91753766,2.35,0,0,0,0,0.5515695070000001,21.52,104751.0,11.51
0.06345733,23.43733434,0.328420083,0,0.3658712939999999,0.307459296,0.380621572,0.0076,33.24412487,8.12,0,0,0,0,0.7218225420000001,14.79,154932.0,8.36
0.0528634359999999,14.95111876,0.286305337,0,0.148089172,0.209982788,0.280622837,0.0092,49.50134446,4.15,0,0,0,0,0.5214285710000001,21.3,74509.0,13.09
0.0669781929999999,20.15384615,0.158333333,0,0.366086957,0.263348416,0.630794702,0.0061,21.56530244,0.0,0,0,0,0,0.721212121,19.35,152724.0,8.77
0.125464998,14.85862355,0.264235764,0,0.274074074,0.207711443,0.2000398089999999,0.0028,53.18668377,2.08,0,0,1,0,0.520599251,14.31,105605.0,9.83
